ID,FPS,"LOOPTYPE (0: Single, 1: Loop, 2: PingPong)",,
Die,10,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/xsheet.png,50,637,27,40
graphics/xsheet.png,50,637,27,40
graphics/xsheet.png,50,637,27,40
graphics/xsheet.png,50,637,27,40
graphics/xsheet.png,50,637,27,40
graphics/chargeEffect.png,490,110,80,100
graphics/chargeEffect.png,396,110,80,100
graphics/chargeEffect.png,300,110,85,100
graphics/chargeEffect.png,205,110,88,100
graphics/chargeEffect.png,105,110,92,100
graphics/chargeEffect.png,5,110,92,100
