ID,FPS,"LOOPTYPE (0: Single, 1: Loop, 2: PingPong)",,
Swing,10,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss2.png,0,0,39,36
graphics/boss/boss2.png,0,0,39,36
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss2.png,0,0,39,36
graphics/boss/boss2.png,0,0,39,36
graphics/boss/boss4.png,0,0,46,37
graphics/boss/boss4.png,0,0,46,37
graphics/boss/boss4.png,0,0,46,37
graphics/boss/boss4.png,0,0,46,37
graphics/boss/boss4.png,0,0,46,37
graphics/boss/boss4.png,0,0,46,37
graphics/boss/boss4.png,0,0,46,37
graphics/boss/boss6.png,0,0,40,37
graphics/boss/boss6.png,0,0,40,37
graphics/boss/boss6.png,0,0,40,37
