ID,FPS,"LOOPTYPE (0: Single, 1: Loop, 2: PingPong)",,
Swing,10,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/ostrich/ostrich7.png,0,0,27,75
graphics/ostrich/ostrich7.png,0,0,27,75
graphics/ostrich/ostrich7.png,0,0,27,75
graphics/ostrich/ostrich7.png,0,0,27,75
graphics/ostrich/ostrich8.png,0,0,51,58
graphics/ostrich/ostrich9.png,0,0,51,58
graphics/ostrich/ostrich10.png,0,0,57,58
graphics/ostrich/ostrich11.png,0,0,42,58
graphics/ostrich/ostrich12.png,0,0,30,58
graphics/ostrich/ostrich13.png,0,0,46,58
graphics/ostrich/ostrich14.png,0,0,54,58
graphics/ostrich/ostrich15.png,0,0,44,60
graphics/ostrich/ostrich16.png,0,0,29,66
graphics/ostrich/ostrich17.png,0,0,29,71
graphics/ostrich/ostrich17.png,0,0,29,71
graphics/ostrich/ostrich17.png,0,0,29,71
graphics/ostrich/ostrich17.png,0,0,29,71
graphics/ostrich/ostrich17.png,0,0,29,71
